criterion,criterion_value,mode,scorer,seed,alpha,topk,smooth,beta,hyst_mult,head,TEST_Accuracy,TEST_Precision,TEST_Recall,TEST_F1,TEST_ROC-AUC,TEST_PR-AUC,TESTOP_Accuracy,TESTOP_F1,TESTACC_Accuracy,TESTACC_F1,TESTHY_Accuracy,TESTHY_F1,TEST_EventRecall
TESTACC_F1,0.0,net_only,unsup,42,1.0,20.0,30,0.0,1,"{""kind"": ""logreg"", ""C"": 1.0}",0.8959764474975466,0.0,0.0,0.0,0.43959697063283265,0.11177756944621346,0.6261040235525025,0.17173913043478262,0.8972849198560681,0.0,0.6261040235525025,0.17173913043478262,0.0
TESTHY_F1,0.24209575429087624,net_only,unsup,2024,1.0,20.0,30,0.0,1,"{""kind"": ""logreg"", ""C"": 0.05}",0.8402930402930403,0.0,0.0,0.0,0.5400659774267522,0.1096812471271861,0.7541391941391942,0.24209575429087624,0.8814652014652015,0.0,0.7541391941391942,0.24209575429087624,0.0
TEST_ROC-AUC,0.6412469872975747,net_only,unsup,31337,1.0,20.0,5,0.0,1,"{""kind"": ""logreg"", ""C"": 0.05}",0.8482627180765284,0.012165450121654502,0.007886435331230283,0.009569377990430622,0.6412469872975747,0.1431830284841613,0.1309192200557103,0.17552155771905426,0.9049992669696525,0.0,0.1309192200557103,0.17552155771905426,0.1111111111111111
TEST_PR-AUC,0.1431830284841613,net_only,unsup,31337,1.0,20.0,5,0.0,1,"{""kind"": ""logreg"", ""C"": 0.05}",0.8482627180765284,0.012165450121654502,0.007886435331230283,0.009569377990430622,0.6412469872975747,0.1431830284841613,0.1309192200557103,0.17552155771905426,0.9049992669696525,0.0,0.1309192200557103,0.17552155771905426,0.1111111111111111
TEST_Accuracy,0.9396348645465253,sen_only,hybrid,123,0.0,1.0,3,0.0,1,"{""kind"": ""logreg"", ""C"": 0.05}",0.9396348645465253,0.7546296296296297,0.5174603174603175,0.6139359698681732,0.8415261484881739,0.6309665241304235,0.9353651354534747,0.5990867579908675,0.9467020023557126,0.6408730158730159,0.9353651354534747,0.5990867579908675,0.5882352941176471
TESTACC_Accuracy,0.9467020023557126,sen_only,hybrid,123,0.0,1.0,3,0.0,1,"{""kind"": ""logreg"", ""C"": 0.05}",0.9396348645465253,0.7546296296296297,0.5174603174603175,0.6139359698681732,0.8415261484881739,0.6309665241304235,0.9353651354534747,0.5990867579908675,0.9467020023557126,0.6408730158730159,0.9353651354534747,0.5990867579908675,0.5882352941176471
TESTOP_Accuracy,0.9400785854616895,sen_only,hybrid,7,0.0,20.0,2,0.0,1,"{""kind"": ""logreg"", ""C"": 0.05}",0.9079895219384414,1.0,0.11075949367088607,0.19943019943019943,0.8813109102088748,0.693536200214441,0.9400785854616895,0.6566604127579737,0.9444990176817288,0.6472424557752341,0.9400785854616895,0.6566604127579737,0.11764705882352941
TESTHY_Accuracy,0.9400785854616895,sen_only,hybrid,7,0.0,20.0,2,0.0,1,"{""kind"": ""logreg"", ""C"": 0.05}",0.9079895219384414,1.0,0.11075949367088607,0.19943019943019943,0.8813109102088748,0.693536200214441,0.9400785854616895,0.6566604127579737,0.9444990176817288,0.6472424557752341,0.9400785854616895,0.6566604127579737,0.11764705882352941
TEST_F1,0.6147704590818364,sen_only,hybrid,42,0.0,20.0,3,0.0,1,"{""kind"": ""logreg"", ""C"": 0.05}",0.9368662087013412,0.8235294117647058,0.49044585987261147,0.6147704590818364,0.7686273223561539,0.552122536906813,0.9200196270853778,0.5637823371989296,0.9370297677461563,0.6153846153846154,0.9200196270853778,0.5637823371989296,0.625
TESTOP_F1,0.6566604127579737,sen_only,hybrid,7,0.0,20.0,2,0.0,1,"{""kind"": ""logreg"", ""C"": 0.05}",0.9079895219384414,1.0,0.11075949367088607,0.19943019943019943,0.8813109102088748,0.693536200214441,0.9400785854616895,0.6566604127579737,0.9444990176817288,0.6472424557752341,0.9400785854616895,0.6566604127579737,0.11764705882352941
